Type,Value,Row_Positions,Count
ID,pracownik-sklepu-zabka-wilanow-mokotow-CID4-ID17IijM,"221,242",2
ID,max-premium-burgers-pracownik-restauracji-pruszkow-CID4-ID17IxbR,"274,456",2
URL,https://www.olx.pl/oferta/praca/pracownik-sklepu-zabka-wilanow-mokotow-CID4-ID17IijM.html,"221,242",2
URL,https://www.olx.pl/oferta/praca/max-premium-burgers-pracownik-restauracji-pruszkow-CID4-ID17IxbR.html,"274,456",2
